COV_REG,a,b,c,ab,ac,bc,abc
2,0.8151278038601982,0.12968179447052686,0.07553468961919667,0.10570723632741015,0.06157042566455749,0.009795474094591701,0.007984563286493997
2,0.7900193798449613,0.33003875968992247,0.03217054263565892,0.26073701625503276,0.025415352142299143,0.010617525990024638,0.008388051298127024
2,0.7269410916951901,0.0,0.00042785083768690326,0.0,0.000311022355030819,0.0,0.0
2,0.8997629430185256,0.0,0.0012291843483859639,0.0,0.0011059745268160634,0.0,0.0
2,0.9031452358926919,0.0,0.002466851680542707,0.0,0.0022279253429360268,0.0,0.0
2,0.9043895832050729,0.0,0.003416856492027335,0.0,0.0030901694186961487,0.0,0.0
2,0.9001343312224142,0.0030704279408942936,0.008750719631548647,0.0027637976011434993,0.007876823163258892,2.6868454059639186e-05,2.4185217925953477e-05
2,0.8669736842105263,0.018223684210526336,0.02532894736842105,0.015799454639889216,0.021959530817174513,0.0004615867382271473,0.0004001835550235097
2,0.8159357015280809,0.09327247469736055,0.041972613613812264,0.07610434207545105,0.03424695393395299,0.003914889541276396,0.0031942981442663024
2,0.7869124244197386,0.21357519016968984,0.013750731421884143,0.16806497069233736,0.01082062140073953,0.0029368150784012353,0.002311016273417161
3,0.7335255435533877,0.0,0.0003357096309168822,0.0,0.0002462515894944132,0.0,0.0
3,0.8182593587111041,0.0,0.000947717580161112,0.0,0.0007754787793818709,0.0,0.0
3,0.8362662262033331,0.0,0.003261122757978104,0.0,0.0027271668220001546,0.0,0.0
3,0.8379955777240705,0.0,0.007687561063403096,0.0,0.006442142174615547,0.0,0.0
3,0.8273866673586423,0.007447388224303908,0.0182162596984716,0.006161869723432807,0.015071890403657962,0.00013566355796925923,0.00011224621911020137
3,0.7948930460178388,0.02723182571631544,0.038479753729576134,0.021646388892268893,0.030587288652119068,0.0010478739471705563,0.0008329477137091393
3,0.7567164179104477,0.095771144278607,0.06376451077943615,0.07247159723769216,0.04825165218682706,0.006106800161712171,0.0046211159432657765
3,0.6901424245822586,0.2736346304811035,0.03768083436133229,0.18884686732989917,0.026005142386412345,0.010310781186682827,0.007115907527514424
3,0.7460795251226136,0.0,0.00037889153177426483,0.0,0.00028268321409912313,0.0,0.0
3,0.8512335958005249,0.0,0.0009973753280839894,0.0,0.0008489993868876627,0.0,0.0
3,0.8668005354752343,0.0,0.0025478257114479423,0.0,0.002208456690980646,0.0,0.0
3,0.8608226695366274,0.0,0.004044752465879793,0.0,0.0034818146152935,0.0,0.0
3,0.8476473675004373,0.0037981958569679453,0.009645418426247533,0.0032195307194099465,0.008175913537448933,3.6635188305295657e-05,3.1053720924866675e-05
3,0.8169898587007256,0.014851275088046845,0.021258539483175628,0.012133341135708998,0.017368011168543453,0.00031571641783474647,0.00025793711159630877
3,0.7674897119341564,0.06255144032921811,0.037448559670781895,0.04800758691933818,0.028741384274077464,0.0023424613456620776,0.0017978149833990842
3,0.62675,0.19843750000000004,0.0161875,0.12437070312500004,0.010145515625,0.0032122070312500008,0.002013250756835938
4,0.778158598995258,0.0,0.0010329123433025025,0.0,0.0008037696219491843,0.0,0.0
4,0.8751880225277224,0.0,0.002168817994193165,0.0,0.0018981235315604574,0.0,0.0
4,0.8809615049642919,0.0,0.004424316321198397,0.0,0.0038976523647610193,0.0,0.0
4,0.889524948735475,0.0,0.010210184552289815,0.0,0.009082213890455337,0.0,0.0
4,0.8845184064548663,0.009189219476662736,0.02717543564744775,0.008128033768061744,0.024037173033597252,0.00024972104253832166,0.00022088285860424417
4,0.8777452415812591,0.03202781844802338,0.05536237188872621,0.02811226524098099,0.0485940584879815,0.0017731359957040764,0.001556361682905701
